Date,EnquiryType,Postcode sector,Ward Lookup or Given,What assistance do you require?,How urgent is your need?,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS12 2,Armley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS26 8,Garforth & Swillington,,,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS11 0,Beeston & Holbeck,Baby products,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS6 3,Kirkstall,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS15 8,Cross Gates & Whinmoor,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
20/08/2020 00:00,Assistance required - non eligibility,LS5 3,Kirkstall,Food parcel,Red - Required within 24 hours,,,,,,,
20/08/2020 00:00,Passed to ASC,LS12 1,Armley,,,,,,,,,
20/08/2020 00:00,Passed to ASC,LS8 4,Gipton & Harehills,,,,,,,,,
20/08/2020 00:00,Referral to LWSS,LS8 5,Gipton & Harehills,,,,,,,,,
20/08/2020 00:00,Referral to LWSS,LS10 3,Middleton Park,,,,,,,,,
20/08/2020 00:00,Shielding Pause,LS6 3,Kirkstall,,,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS9 6,Gipton & Harehills,Food parcel|Baby products,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS9 7,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS7 2,Chapel Allerton,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS13 2,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS13 2,Armley,,,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS22 6,Wetherby,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS12 2,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS10 1,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS14 2,Cross Gates & Whinmoor,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,1st Request - Assistance Required,LS15 0,Temple Newsam,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,2nd Request - Assistance required,LS14 1,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,2nd Request - Assistance required,LS10 2,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,2nd Request - Assistance required,LS8 2,Roundhay,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,2nd Request - Assistance required,LS19 7,Guiseley & Rawdon,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,2nd Request - Assistance required,LS19 7,Guiseley & Rawdon,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,3rd Request - Assistance Required,LS12 1,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,3rd Request - Assistance Required,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,3rd Request - Assistance Required,LS11 6,Hunslet & Riverside,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,3rd Request - Assistance Required,LS16 7,Adel & Wharfedale,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,4th Request - Assistance Required,LS11 6,Hunslet & Riverside,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,4th Request - Assistance Required,LS10 4,Middleton Park,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS12 2,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS28 7,Pudsey,Pick up a prescription,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS9 9,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS6 2,Headingley & Hyde Park,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS7 4,Chapel Allerton,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,,Kirkstall,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS27 9,Morley North,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS13 2,Bramley & Stanningley,,,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS11 6,Hunslet & Riverside,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS25 7,Kippax & Methley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS8 4,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS14 6,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
19/08/2020 00:00,Assistance required - non eligibility,LS28 8,Pudsey,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
19/08/2020 00:00,Assistance required- DBS checked volunteer,LS10 2,Hunslet & Riverside,,,,,,,,,
19/08/2020 00:00,LWSS discretionary award,LS11 6,Hunslet & Riverside,,,,,,,,,
19/08/2020 00:00,No further assistance,LS11 6,Hunslet & Riverside,,,,,,,,,
19/08/2020 00:00,No further assistance,LS11 6,Hunslet & Riverside,,,,,,,,,
19/08/2020 00:00,Outbound - voicemail callback,LS25 1,Garforth & Swillington,,,,,,,,,
19/08/2020 00:00,Passed to ASC,LS5 3,Kirkstall,,,,,,,,,
19/08/2020 00:00,Passed to ASC,LS5 3,Kirkstall,,,,,,,,,
19/08/2020 00:00,Referral to LWSS,LS7 2,Chapel Allerton,,,,,,,,,
19/08/2020 00:00,Referral to LWSS,LS19 7,Otley & Yeadon,,,,,,,,,
19/08/2020 00:00,Referral to LWSS,LS13 2,Bramley & Stanningley,,,,,,,,,
19/08/2020 00:00,Shielded Cohort - Inbound,,,,,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS13 3,Bramley & Stanningley,"Food parcel|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS12 2,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS6 1,Headingley & Hyde Park,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS10 2,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS11 8,Beeston & Holbeck,,,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,,Moortown,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS8 3,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,1st Request - Assistance Required,LS12 2,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,2nd Request - Assistance required,LS7 1,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,2nd Request - Assistance required,LS9 9,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,2nd Request - Assistance required,LS6 3,Kirkstall,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,2nd Request - Assistance required,LS12 5,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,2nd Request - Assistance required,LS12 1,Armley,Food parcel|Fuel top up (pre-payment meter only,Amber - Required in 2-6 days,,,,,,,
18/08/2020 00:00,2nd Request - Assistance required,LS4 2,Kirkstall,Food parcel,Green - Required in 7 days or more,,,,,,,
18/08/2020 00:00,4th Request - Assistance Required,LS13 4,Pudsey,"Food parcel|Fuel top up (pre-payment meter only|Baby products|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS6 2,Little London & Woodhouse,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS26 8,Garforth & Swillington,Pick up a prescription,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS6 1,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS10 3,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS16 5,Kirkstall,Pick up a prescription,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS14 5,Cross Gates & Whinmoor,Pick up a prescription,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS27 0,Morley South,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,WF10 2,Kippax & Methley,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS13 4,Pudsey,Food parcel,Red - Required within 24 hours,,,,,,,
18/08/2020 00:00,Assistance required - non eligibility,LS8 2,Roundhay,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
18/08/2020 00:00,Declined Help,LS16 7,Adel & Wharfedale,,,,,,,,,
18/08/2020 00:00,LWSS discretionary award,LS8 2,Moortown,,,,,,,,,
18/08/2020 00:00,LWSS discretionary award,LS16 7,Adel & Wharfedale,,,,,,,,,
18/08/2020 00:00,LWSS discretionary award,LS8 1,Roundhay,,,,,,,,,
18/08/2020 00:00,Referral to LWSS,LS6 2,Little London & Woodhouse,,,,,,,,,
18/08/2020 00:00,Referral to LWSS,LS19 7,Guiseley & Rawdon,,,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS27 7,Morley North,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS9 0,Temple Newsam,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS14 6,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS13 1,Bramley & Stanningley,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS4 2,Kirkstall,Help with food and essential shopping,Green - Required in 7 days or more,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS11 6,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS7 4,Chapel Allerton,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS27 0,Morley South,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS8 1,Roundhay,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS6 1,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,1st Request - Assistance Required,LS12 3,Farnley & Wortley,Food parcel,Amber - Required in 2-6 days,,,,,,,
17/08/2020 00:00,2nd Request - Assistance required,LS28 7,Pudsey,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,2nd Request - Assistance required,LS12 2,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,2nd Request - Assistance required,LS13 4,Pudsey,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,3rd Request - Assistance Required,LS12 2,Armley,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,3rd Request - Assistance Required,LS11 7,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,3rd Request - Assistance Required,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,3rd Request - Assistance Required,LS13 3,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,3rd Request - Assistance Required,LS15 7,Temple Newsam,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,4th Request - Assistance Required,LS11 0,Beeston & Holbeck,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,4th Request - Assistance Required,LS27 9,Morley North,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,4th Request - Assistance Required,LS11 6,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,4th Request - Assistance Required,LS17 9,Harewood,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,4th Request - Assistance Required,LS13 2,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS8 5,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS26 8,Garforth & Swillington,Pick up a prescription,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS7 3,Chapel Allerton,Food parcel,Green - Required in 7 days or more,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS28 7,Pudsey,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS25 2,Garforth & Swillington,Pick up a prescription,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS18 4,Horsforth,,,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS5 3,Kirkstall,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS14 1,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS14 6,Killingbeck & Seacroft,"Food parcel|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS7 3,Chapel Allerton,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS9 0,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS11 6,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS11 6,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS26 8,Garforth & Swillington,Pick up a prescription,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS11 8,Beeston & Holbeck,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS14 6,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS7 3,Chapel Allerton,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS7 2,Chapel Allerton,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS8 5,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS22 6,Wetherby,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS28 7,Pudsey,Pick up a prescription,Green - Required in 7 days or more,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,WF3 1,Ardsley & Robin Hood,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
17/08/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,,,,,,,,,
17/08/2020 00:00,Assistance required- DBS checked volunteer,LS1 1,Little London & Woodhouse,,,,,,,,,
17/08/2020 00:00,LWSS discretionary award,LS11 0,Beeston & Holbeck,,,,,,,,,
17/08/2020 00:00,LWSS discretionary award,LS7 4,Chapel Allerton,,,,,,,,,
17/08/2020 00:00,LWSS discretionary award,LS11 6,Hunslet & Riverside,,,,,,,,,
17/08/2020 00:00,No further assistance,LS6 3,Kirkstall,,,,,,,,,
17/08/2020 00:00,Outbound - voicemail callback,LS6 3,Kirkstall,,,,,,,,,
17/08/2020 00:00,Passed to ASC,LS7 2,Chapel Allerton,,,,,,,,,
17/08/2020 00:00,Shielded Cohort - Inbound,LS10 3,Middleton Park,,,,,,,,,
17/08/2020 00:00,Shielded Cohort - Inbound,LS6 3,Kirkstall,,,,,,,,,
17/08/2020 00:00,Shielded Cohort - Inbound,LS17 9,Harewood,,,,,,,,,
17/08/2020 00:00,Shielded Cohort - Outbound,LS6 3,Kirkstall,,,,,,,,,
15/08/2020 00:00,Assistance required - non eligibility,WF10 2,Kippax & Methley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,LS13 2,Bramley & Stanningley,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,LS27 8,Morley South,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,LS12 3,Armley,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,,,,,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,LS7 2,Chapel Allerton,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,1st Request - Assistance Required,,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,2nd Request - Assistance required,LS7 3,Chapel Allerton,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,2nd Request - Assistance required,LS5 3,Kirkstall,Food parcel,Amber - Required in 2-6 days,,,,,,,
14/08/2020 00:00,2nd Request - Assistance required,LS19 7,Otley & Yeadon,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,3rd Request - Assistance Required,LS26 0,Rothwell,Food parcel,Amber - Required in 2-6 days,,,,,,,
14/08/2020 00:00,3rd Request - Assistance Required,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS14 1,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS7 2,Chapel Allerton,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS9 9,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS9 9,Burmantofts & Richmond Hill,,,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS4 2,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS12 4,Farnley & Wortley,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS6 1,Little London & Woodhouse,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Assistance required - non eligibility,LS14 1,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
14/08/2020 00:00,Declined Help,LS11 9,Beeston & Holbeck,,,,,,,,,
14/08/2020 00:00,LWSS discretionary award,LS27 9,Morley South,,,,,,,,,
14/08/2020 00:00,LWSS discretionary award,LS11 6,Hunslet & Riverside,,,,,,,,,
14/08/2020 00:00,Referral to LWSS,,,,,,,,,,,
14/08/2020 00:00,Referral to LWSS,LS13 4,Armley,,,,,,,,,
14/08/2020 00:00,Referral to LWSS,LS8 5,Gipton & Harehills,,,,,,,,,
14/08/2020 00:00,Referral to LWSS,LS15 0,Temple Newsam,,,,,,,,,
14/08/2020 00:00,Shielded Cohort - Inbound,LS9 6,Gipton & Harehills,,,,,,,,,
14/08/2020 00:00,Shielded Cohort - Inbound,LS27 8,Morley South,,,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS11 7,Hunslet & Riverside,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,WF3 1,Ardsley & Robin Hood,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS27 9,Morley North,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS8 4,Gipton & Harehills,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,,Burmantofts & Richmond Hill,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS12 5,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS9 0,Temple Newsam,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,1st Request - Assistance Required,LS18 4,Horsforth,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,2nd Request - Assistance required,LS10 4,Middleton Park,Baby products,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,2nd Request - Assistance required,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,2nd Request - Assistance required,LS9 0,Temple Newsam,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,2nd Request - Assistance required,LS8 5,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,3rd Request - Assistance Required,LS13 1,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,3rd Request - Assistance Required,LS11 6,Hunslet & Riverside,Food parcel|Baby products,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,4th Request - Assistance Required,LS6 3,Kirkstall,Food parcel,Amber - Required in 2-6 days,,,,,,,
13/08/2020 00:00,4th Request - Assistance Required,LS17 6,Moortown,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,4th Request - Assistance Required,LS14 5,Cross Gates & Whinmoor,Food parcel,Red - Required within 24 hours,,,,,,,
13/08/2020 00:00,Assistance required - non eligibility,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
